seed;score;water scale;water coverage;elevation type
1164388581;0.550883;0.25;0.25;2.0
1384882039;0.548611;0.333333;3;island
1164388581;0.547689;0.25;0.166667;1.1
1164388581;0.547689;0.25;0.25;1.1
3275500597;0.546486;0.5;0.166667;1.1
506584608;0.543691;0.75;6;island
1942753685;0.541953;1.33333;0.75;2.0
1942753685;0.541953;1.5;1;2.0
1942753685;0.541953;1;0.25;2.0
1942753685;0.541953;6;3;2.0
1942753685;0.541953;1.33333;2;2.0
1942753685;0.541953;1.5;1.33333;2.0
1942753685;0.541953;1.5;4;2.0
1942753685;0.541953;1.33333;3;2.0
1942753685;0.541953;2;2;2.0
1942753685;0.541953;2;1.5;2.0
1942753685;0.541953;0.333333;0.166667;2.0
1942753685;0.541953;6;0.5;2.0
1942753685;0.541953;2;1;2.0
1942753685;0.541953;4;0.75;2.0
1942753685;0.541953;1.5;0.166667;2.0
1942753685;0.541953;4;4;2.0
1942753685;0.541953;1.5;0.333333;2.0
1942753685;0.541953;1.5;1.5;2.0
1942753685;0.541953;6;0.75;2.0
1942753685;0.541953;3;0.75;2.0
1942753685;0.541953;0.5;0.333333;2.0
1942753685;0.541953;3;6;2.0
1942753685;0.541953;3;1.5;2.0
1942753685;0.541953;1.33333;1.5;2.0
1942753685;0.541953;6;0.166667;2.0
1942753685;0.541953;1.33333;1;2.0
1942753685;0.541953;3;4;2.0
1942753685;0.541953;2;3;2.0
1942753685;0.541953;2;6;2.0
1942753685;0.541953;4;0.166667;2.0
1942753685;0.541953;6;4;2.0
1942753685;0.541953;1;0.166667;2.0
1942753685;0.541953;1.5;0.5;2.0
1942753685;0.541953;0.75;0.25;2.0
1942753685;0.541953;2;0.75;2.0
1942753685;0.541953;4;0.25;2.0
1942753685;0.541953;6;0.333333;2.0
1942753685;0.541953;1;0.333333;2.0
1942753685;0.541953;2;0.5;2.0
1942753685;0.541953;2;0.333333;2.0
1942753685;0.541953;6;1.33333;2.0
1942753685;0.541953;0.75;0.166667;2.0
1942753685;0.541953;2;1.33333;2.0
1942753685;0.541953;1.5;6;2.0
1942753685;0.541953;1.5;0.75;2.0
1942753685;0.541953;6;6;2.0
1942753685;0.541953;0.75;0.333333;2.0
1942753685;0.541953;3;1.33333;2.0
1942753685;0.541953;1.5;2;2.0
1942753685;0.541953;1.33333;6;2.0
1942753685;0.541953;3;2;2.0
1942753685;0.541953;0.75;0.5;2.0
1942753685;0.541953;1.5;0.25;2.0
1942753685;0.541953;1.33333;0.333333;2.0
1942753685;0.541953;4;3;2.0
1942753685;0.541953;4;0.5;2.0
1942753685;0.541953;1;0.5;2.0
1942753685;0.541953;6;1;2.0
1942753685;0.541953;6;2;2.0
1942753685;0.541953;1.33333;0.25;2.0
1942753685;0.541953;0.5;0.5;2.0
1942753685;0.541953;1.33333;0.5;2.0
1942753685;0.541953;2;0.25;2.0
1942753685;0.541953;6;1.5;2.0
1942753685;0.541953;0.5;0.166667;2.0
1942753685;0.541953;3;3;2.0
1942753685;0.541953;6;0.25;2.0
1942753685;0.541953;2;0.166667;2.0
1942753685;0.541953;1.5;3;2.0
1942753685;0.541953;4;6;2.0
1942753685;0.541953;3;1;2.0
1942753685;0.541953;3;0.166667;2.0
1942753685;0.541953;1.33333;4;2.0
1942753685;0.541953;1.33333;0.166667;2.0
1942753685;0.541953;0.5;0.25;2.0
1942753685;0.541953;4;0.333333;2.0
1942753685;0.541953;3;0.5;2.0
1942753685;0.541953;0.5;0.75;2.0
1942753685;0.541953;4;1.5;2.0
1942753685;0.541953;4;2;2.0
1942753685;0.541953;2;4;2.0
1942753685;0.541953;3;0.25;2.0
1942753685;0.541953;4;1.33333;2.0
1942753685;0.541953;1.33333;1.33333;2.0
1942753685;0.541953;4;1;2.0
1942753685;0.541953;3;0.333333;2.0
2775144178;0.54124;0.75;1.33333;1.1
4211617139;0.540673;0.166667;0.25;1.1
3341889739;0.539054;1.5;1;2.0
421856056;0.538661;0.166667;0.25;1.1
1708704678;0.538355;0.333333;0.333333;1.1
1543539313;0.537529;1.33333;2;2.0
1543539313;0.537529;1.33333;3;2.0
1543539313;0.537529;1.33333;1.5;2.0
1543539313;0.537529;1.33333;6;2.0
1543539313;0.537529;1.33333;4;2.0
3787733743;0.536447;0.5;0.166667;1.1
3586231527;0.535448;0.166667;0.333333;2.0
4124101795;0.53504;0.5;6;2.0
4124101795;0.53504;0.5;4;2.0
1655614412;0.534945;0.25;0.333333;2.0
256466860;0.534897;0.25;0.333333;1.1
2136900269;0.533796;0.75;0.333333;1.1
2136900269;0.533796;1.5;1;island
2136900269;0.533796;1.33333;0.166667;island
2136900269;0.533796;2;4;1.1
2136900269;0.533796;1.33333;3;island
2136900269;0.533796;3;2;1.1
2136900269;0.533796;1.5;0.5;1.1
2136900269;0.533796;6;1;1.1
2136900269;0.533796;6;6;island
2136900269;0.533796;2;0.25;island
2136900269;0.533796;1;0.75;1.1
2136900269;0.533796;1.33333;1.5;1.1
2136900269;0.533796;4;2;1.1
2136900269;0.533796;2;1.33333;1.1
2136900269;0.533796;6;4;1.1
2136900269;0.533796;1;1;1.1
2136900269;0.533796;1.5;6;island
2136900269;0.533796;1;0.166667;island
2136900269;0.533796;1.33333;1.5;island
2136900269;0.533796;2;3;island
2136900269;0.533796;2;0.75;island
2136900269;0.533796;3;0.333333;1.1
2136900269;0.533796;6;0.166667;1.1
2136900269;0.533796;1.33333;2;1.1
2136900269;0.533796;1;2;island
2136900269;0.533796;1.33333;1;1.1
2136900269;0.533796;3;0.166667;1.1
2136900269;0.533796;2;0.333333;1.1
2136900269;0.533796;2;0.5;1.1
2136900269;0.533796;6;0.166667;island
2136900269;0.533796;4;1;island
2136900269;0.533796;2;2;1.1
2136900269;0.533796;2;0.166667;1.1
2136900269;0.533796;1;0.333333;1.1
2136900269;0.533796;3;0.75;1.1
2136900269;0.533796;4;2;island
2136900269;0.533796;1.33333;6;island
2136900269;0.533796;3;0.333333;island
2136900269;0.533796;1.33333;1.33333;island
2136900269;0.533796;1;0.25;1.1
2136900269;0.533796;3;1;island
2136900269;0.533796;1.5;0.333333;island
2136900269;0.533796;3;6;island
2136900269;0.533796;1;0.25;island
2136900269;0.533796;1.5;3;island
2136900269;0.533796;4;0.333333;1.1
2136900269;0.533796;2;1.5;1.1
2136900269;0.533796;1.33333;0.5;1.1
2136900269;0.533796;1.5;2;island
2136900269;0.533796;1.33333;4;1.1
2136900269;0.533796;1.5;0.5;island
2136900269;0.533796;1.5;0.25;island
2136900269;0.533796;3;1.5;1.1
2136900269;0.533796;1.33333;0.166667;1.1
2136900269;0.533796;0.75;0.25;1.1
2136900269;0.533796;0.5;0.333333;1.1
2136900269;0.533796;4;0.333333;island
2136900269;0.533796;3;1;1.1
2136900269;0.533796;4;1.5;island
2136900269;0.533796;1;6;island
2136900269;0.533796;6;6;1.1
2136900269;0.533796;4;0.75;island
2136900269;0.533796;2;6;island
2136900269;0.533796;1.33333;4;island
2136900269;0.533796;4;3;island
2136900269;0.533796;6;3;1.1
2136900269;0.533796;4;0.166667;island
2136900269;0.533796;0.5;0.166667;1.1
2136900269;0.533796;6;0.333333;island
2136900269;0.533796;1.33333;0.333333;island
2136900269;0.533796;3;0.5;island
2136900269;0.533796;4;1.33333;island
2136900269;0.533796;6;1.33333;island
2136900269;0.533796;1;1.33333;1.1
2136900269;0.533796;1.5;1.5;1.1
2136900269;0.533796;1;0.5;island
2136900269;0.533796;1;0.5;1.1
2136900269;0.533796;6;0.25;1.1
2136900269;0.533796;4;1;1.1
2136900269;0.533796;2;0.25;1.1
2136900269;0.533796;1;4;island
2136900269;0.533796;1.5;0.75;island
2136900269;0.533796;2;1.5;island
2136900269;0.533796;4;0.5;1.1
2136900269;0.533796;2;0.166667;island
2136900269;0.533796;1.5;1.33333;1.1
2136900269;0.533796;6;0.5;1.1
2136900269;0.533796;1.33333;1;island
2136900269;0.533796;1;3;island
2136900269;0.533796;4;6;1.1
2136900269;0.533796;1.5;0.75;1.1
2136900269;0.533796;1.33333;3;1.1
2136900269;0.533796;4;0.75;1.1
2136900269;0.533796;1.5;6;1.1
2136900269;0.533796;4;0.25;island
2136900269;0.533796;3;0.5;1.1
2136900269;0.533796;6;4;island
2136900269;0.533796;4;1.33333;1.1
2136900269;0.533796;1.5;0.166667;island
2136900269;0.533796;6;0.75;island
2136900269;0.533796;4;4;1.1
2136900269;0.533796;6;1.33333;1.1
2136900269;0.533796;1.33333;0.25;island
2136900269;0.533796;2;1;island
2136900269;0.533796;3;4;island
2136900269;0.533796;1;1.5;island
2136900269;0.533796;1;0.333333;island
2136900269;0.533796;1;0.75;island
2136900269;0.533796;1;1;island
2136900269;0.533796;2;2;island
2136900269;0.533796;6;0.5;island
2136900269;0.533796;4;4;island
2136900269;0.533796;1.5;1.5;island
2136900269;0.533796;1.33333;0.5;island
2136900269;0.533796;4;3;1.1
2136900269;0.533796;2;4;island
2136900269;0.533796;1.33333;2;island
2136900269;0.533796;6;1.5;1.1
2136900269;0.533796;4;6;island
2136900269;0.533796;3;1.33333;1.1
2136900269;0.533796;0.5;0.25;1.1
2136900269;0.533796;3;4;1.1
2136900269;0.533796;3;0.25;island
2136900269;0.533796;6;0.75;1.1
2136900269;0.533796;1;1.33333;island
2136900269;0.533796;4;0.166667;1.1
2136900269;0.533796;3;1.33333;island
2136900269;0.533796;0.75;0.166667;1.1
2136900269;0.533796;3;3;island
2136900269;0.533796;1.5;2;1.1
2136900269;0.533796;1.5;1.33333;island
2136900269;0.533796;0.75;1;1.1
2136900269;0.533796;1.33333;0.75;island
2136900269;0.533796;1.5;4;island
2136900269;0.533796;1.5;3;1.1
2136900269;0.533796;6;2;island
2136900269;0.533796;6;0.333333;1.1
2136900269;0.533796;4;0.5;island
2136900269;0.533796;1.5;4;1.1
2136900269;0.533796;3;6;1.1
2136900269;0.533796;2;1;1.1
2136900269;0.533796;1.33333;0.333333;1.1
2136900269;0.533796;1.33333;0.75;1.1
2136900269;0.533796;3;0.75;island
2136900269;0.533796;6;0.25;island
2136900269;0.533796;4;0.25;1.1
2136900269;0.533796;1;1.5;1.1
2136900269;0.533796;2;0.333333;island
2136900269;0.533796;2;0.75;1.1
2136900269;0.533796;1.33333;0.25;1.1
2136900269;0.533796;6;3;island
2136900269;0.533796;0.75;0.5;1.1
2136900269;0.533796;3;3;1.1
2136900269;0.533796;3;1.5;island
2136900269;0.533796;1.5;1;1.1
2136900269;0.533796;3;2;island
2136900269;0.533796;6;1;island
2136900269;0.533796;1.5;0.25;1.1
2136900269;0.533796;3;0.166667;island
2136900269;0.533796;4;1.5;1.1
2136900269;0.533796;0.75;1.33333;1.1
2136900269;0.533796;1.33333;6;1.1
2136900269;0.533796;1.5;0.333333;1.1
2136900269;0.533796;2;1.33333;island
2136900269;0.533796;2;3;1.1
2136900269;0.533796;1.33333;1.33333;1.1
2136900269;0.533796;1;0.166667;1.1
2136900269;0.533796;0.75;0.75;1.1
2136900269;0.533796;6;2;1.1
2136900269;0.533796;2;6;1.1
2136900269;0.533796;1.5;0.166667;1.1
2136900269;0.533796;2;0.5;island
2136900269;0.533796;3;0.25;1.1
2136900269;0.533796;6;1.5;island
3528143169;0.533023;0.25;0.333333;1.1
4152862292;0.531661;0.333333;0.333333;2.0
2470445366;0.531419;1.33333;2;2.0
2470445366;0.531419;1.33333;1.5;2.0
2470445366;0.531419;1.33333;6;2.0
2470445366;0.531419;1.33333;4;2.0
2470445366;0.531419;1.33333;3;2.0
2470445366;0.531419;1.33333;0.333333;2.0
2470445366;0.531419;1.33333;1.33333;2.0
2470445366;0.531419;1.33333;0.25;2.0
2470445366;0.531419;1.33333;0.5;2.0
2470445366;0.531419;1.33333;0.75;2.0
2470445366;0.531419;1.33333;1;2.0
641631622;0.531169;0.5;3;2.0
4211617139;0.530982;0.166667;0.166667;1.1
1709809437;0.530287;0.75;3;2.0
1709809437;0.530287;0.75;2;2.0
1709809437;0.530287;0.75;4;2.0
1709809437;0.530287;0.75;1.5;2.0
1709809437;0.530287;0.75;1.33333;2.0
1709809437;0.530287;0.75;6;2.0
1709809437;0.530287;0.75;0.75;2.0
1709809437;0.530287;0.75;0.5;2.0
1709809437;0.530287;0.75;1;2.0
2136900269;0.529555;0.25;0.166667;1.1
4159657384;0.528615;0.166667;0.25;2.0
2136900269;0.528439;0.5;1.33333;1.1
2136900269;0.528439;0.5;2;1.1
2136900269;0.528439;0.5;1.5;1.1
3341889739;0.527447;6;0.75;2.0
3341889739;0.527447;2;4;2.0
3341889739;0.527447;6;0.25;2.0
3341889739;0.527447;2;0.25;2.0
3341889739;0.527447;2;0.5;2.0
3341889739;0.527447;1.33333;0.166667;2.0
3341889739;0.527447;2;1.5;2.0
3341889739;0.527447;0.75;0.333333;2.0
3341889739;0.527447;6;1;2.0
3341889739;0.527447;4;0.75;2.0
3341889739;0.527447;0.333333;0.166667;2.0
3341889739;0.527447;6;2;2.0
3341889739;0.527447;3;1.33333;2.0
3341889739;0.527447;2;0.166667;2.0
3341889739;0.527447;3;3;2.0
3341889739;0.527447;6;3;2.0
3341889739;0.527447;4;0.166667;2.0
3341889739;0.527447;4;6;2.0
3341889739;0.527447;4;3;2.0
3341889739;0.527447;4;1;2.0
3341889739;0.527447;1.33333;0.333333;2.0
3341889739;0.527447;3;0.333333;2.0
3341889739;0.527447;2;2;2.0
3341889739;0.527447;3;0.75;2.0
3341889739;0.527447;3;2;2.0
3341889739;0.527447;0.75;0.166667;2.0
3341889739;0.527447;1.5;0.5;2.0
3341889739;0.527447;4;4;2.0
3341889739;0.527447;1;0.333333;2.0
3341889739;0.527447;6;1.33333;2.0
3341889739;0.527447;4;0.25;2.0
3341889739;0.527447;2;3;2.0
3341889739;0.527447;3;0.166667;2.0
3341889739;0.527447;2;0.75;2.0
3341889739;0.527447;1;0.166667;2.0
3341889739;0.527447;3;1.5;2.0
3341889739;0.527447;1.5;0.75;2.0
3341889739;0.527447;3;1;2.0
3341889739;0.527447;4;0.5;2.0
3341889739;0.527447;2;1;2.0
3341889739;0.527447;1.5;0.166667;2.0
3341889739;0.527447;1.5;0.25;2.0
3341889739;0.527447;6;1.5;2.0
3341889739;0.527447;4;1.33333;2.0
3341889739;0.527447;6;0.5;2.0
3341889739;0.527447;6;0.333333;2.0
3341889739;0.527447;1.33333;0.25;2.0
3341889739;0.527447;3;0.5;2.0
3341889739;0.527447;1;0.25;2.0
3341889739;0.527447;3;6;2.0
3341889739;0.527447;1;0.5;2.0
3341889739;0.527447;6;0.166667;2.0
3341889739;0.527447;6;4;2.0
3341889739;0.527447;2;1.33333;2.0
3341889739;0.527447;6;6;2.0
3341889739;0.527447;1.33333;0.5;2.0
3341889739;0.527447;3;0.25;2.0
3341889739;0.527447;2;6;2.0
3341889739;0.527447;4;2;2.0
3341889739;0.527447;2;0.333333;2.0
3341889739;0.527447;0.75;0.25;2.0
3341889739;0.527447;4;0.333333;2.0
3341889739;0.527447;4;1.5;2.0
3341889739;0.527447;1.5;0.333333;2.0
3341889739;0.527447;3;4;2.0
1542639767;0.527375;0.166667;0.333333;2.0
641631622;0.524722;0.5;3;island
244569670;0.524693;0.5;0.166667;1.1
421856056;0.5244;0.166667;0.166667;1.1
2553585962;0.523871;0.5;0.5;1.1
2065549946;0.523703;1.33333;1;island
1588623847;0.522597;0.75;3;island
1588623847;0.522597;0.75;4;island
506584608;0.520687;0.75;4;island
3767976785;0.520499;1;6;2.0
774574718;0.519507;0.5;3;island
2627943958;0.518283;0.25;0.25;1.1
1735896699;0.517979;1.5;0.333333;1.1
3584658332;0.517412;0.25;0.5;2.0
2470445366;0.517061;1.33333;0.75;island
2470445366;0.517061;1.33333;0.333333;island
2470445366;0.517061;1.33333;4;island
2470445366;0.517061;1.33333;1;island
2470445366;0.517061;1.33333;1.33333;island
2470445366;0.517061;1.33333;1.5;island
2470445366;0.517061;1.33333;2;island
2470445366;0.517061;1.33333;3;island
2470445366;0.517061;1.33333;6;island
2470445366;0.517061;1.33333;0.5;island
2470445366;0.517061;1.33333;0.25;island
2031761958;0.516976;0.75;1;island
2031761958;0.516976;0.75;0.75;island
2297970315;0.516504;0.5;6;island
1942753685;0.516241;6;1.5;1.1
1942753685;0.516241;3;2;1.1
1942753685;0.516241;6;2;1.1
1942753685;0.516241;1;0.166667;1.1
1942753685;0.516241;1.33333;1;1.1
1942753685;0.516241;2;1.5;1.1
1942753685;0.516241;3;6;island
1942753685;0.516241;6;0.5;island
1942753685;0.516241;3;3;1.1
1942753685;0.516241;4;0.5;1.1
1942753685;0.516241;1.33333;1.5;island
1942753685;0.516241;1.5;6;island
1942753685;0.516241;4;0.75;1.1
1942753685;0.516241;3;4;1.1
1942753685;0.516241;3;1.33333;island
1942753685;0.516241;1.33333;0.5;1.1
1942753685;0.516241;3;3;island
1942753685;0.516241;1.33333;4;island
1942753685;0.516241;1.5;0.25;island
1942753685;0.516241;1.5;2;1.1
1942753685;0.516241;3;0.166667;1.1
1942753685;0.516241;4;1;island
1942753685;0.516241;1.33333;3;island
1942753685;0.516241;0.75;0.25;island
1942753685;0.516241;6;2;island
1942753685;0.516241;1.33333;1;island
1942753685;0.516241;6;0.25;island
1942753685;0.516241;6;4;island
1942753685;0.516241;1.5;2;island
1942753685;0.516241;6;0.75;1.1
1942753685;0.516241;3;1.5;island
1942753685;0.516241;1.5;1.33333;island
1942753685;0.516241;2;1;island
1942753685;0.516241;3;0.75;island
1942753685;0.516241;6;1;1.1
1942753685;0.516241;1.5;4;island
1942753685;0.516241;2;0.5;island
1942753685;0.516241;0.75;0.5;island
1942753685;0.516241;2;1.5;island
1942753685;0.516241;2;3;island
1942753685;0.516241;1.5;1.33333;1.1
1942753685;0.516241;1.33333;2;island
1942753685;0.516241;2;0.333333;1.1
1942753685;0.516241;3;0.25;1.1
1942753685;0.516241;1;0.166667;island
1942753685;0.516241;4;0.333333;1.1
1942753685;0.516241;2;0.166667;1.1
1942753685;0.516241;2;0.166667;island
1942753685;0.516241;1.5;3;island
1942753685;0.516241;3;0.25;island
1942753685;0.516241;6;0.166667;island
1942753685;0.516241;1;0.333333;1.1
1942753685;0.516241;3;0.5;island
1942753685;0.516241;4;0.166667;island
1942753685;0.516241;4;3;island
1942753685;0.516241;1;0.25;1.1
1942753685;0.516241;1;0.333333;island
1942753685;0.516241;1.33333;0.333333;1.1
1942753685;0.516241;0.75;0.333333;1.1
1942753685;0.516241;1.33333;1.33333;1.1
1942753685;0.516241;4;4;1.1
1942753685;0.516241;2;1.33333;1.1
1942753685;0.516241;2;2;island
1942753685;0.516241;3;0.5;1.1
1942753685;0.516241;1.33333;6;island
1942753685;0.516241;4;0.25;island
1942753685;0.516241;6;1.33333;1.1
1942753685;0.516241;1.5;0.5;island
1942753685;0.516241;3;4;island
1942753685;0.516241;1.5;0.166667;1.1
1942753685;0.516241;2;0.25;island
1942753685;0.516241;4;6;1.1
1942753685;0.516241;2;0.75;1.1
1942753685;0.516241;1.5;1.5;island
1942753685;0.516241;1.5;1;1.1
1942753685;0.516241;2;6;island
1942753685;0.516241;1.33333;0.25;island
1942753685;0.516241;4;1.33333;island
1942753685;0.516241;3;0.166667;island
1942753685;0.516241;1;0.5;island
1942753685;0.516241;1.33333;1.5;1.1
1942753685;0.516241;6;1.5;island
1942753685;0.516241;6;0.5;1.1
1942753685;0.516241;0.5;0.333333;1.1
1942753685;0.516241;4;2;1.1
1942753685;0.516241;4;0.333333;island
1942753685;0.516241;0.5;0.5;1.1
1942753685;0.516241;4;0.25;1.1
1942753685;0.516241;3;1;island
1942753685;0.516241;1.5;0.166667;island
1942753685;0.516241;0.5;0.25;1.1
1942753685;0.516241;1.33333;1.33333;island
1942753685;0.516241;1.5;0.75;island
1942753685;0.516241;6;0.25;1.1
1942753685;0.516241;4;1.5;1.1
1942753685;0.516241;0.5;0.166667;1.1
1942753685;0.516241;2;0.333333;island
1942753685;0.516241;1.5;1;island
1942753685;0.516241;6;4;1.1
1942753685;0.516241;6;0.333333;1.1
1942753685;0.516241;1.33333;0.166667;1.1
1942753685;0.516241;2;0.75;island
1942753685;0.516241;1.33333;2;1.1
1942753685;0.516241;1.33333;0.166667;island
1942753685;0.516241;1.33333;0.75;1.1
1942753685;0.516241;1.33333;0.25;1.1
1942753685;0.516241;4;0.5;island
1942753685;0.516241;3;2;island
1942753685;0.516241;1.5;0.5;1.1
1942753685;0.516241;2;4;island
1942753685;0.516241;1;0.25;island
1942753685;0.516241;1.5;0.75;1.1
1942753685;0.516241;6;1.33333;island
1942753685;0.516241;6;0.75;island
1942753685;0.516241;1.5;0.25;1.1
1942753685;0.516241;0.75;0.333333;island
1942753685;0.516241;4;6;island
1942753685;0.516241;1.33333;0.333333;island
1942753685;0.516241;1;0.5;1.1
1942753685;0.516241;4;2;island
1942753685;0.516241;6;3;1.1
1942753685;0.516241;2;2;1.1
1942753685;0.516241;4;1.33333;1.1
1942753685;0.516241;6;6;island
1942753685;0.516241;1.5;0.333333;island
1942753685;0.516241;4;1;1.1
1942753685;0.516241;3;6;1.1
1942753685;0.516241;0.75;0.25;1.1
1942753685;0.516241;3;0.333333;1.1
1942753685;0.516241;6;6;1.1
1942753685;0.516241;2;1;1.1
1942753685;0.516241;6;0.333333;island
1942753685;0.516241;1.5;1.5;1.1
1942753685;0.516241;3;1.33333;1.1
1942753685;0.516241;2;1.33333;island
1942753685;0.516241;0.75;0.5;1.1
1942753685;0.516241;2;0.5;1.1
1942753685;0.516241;3;1;1.1
1942753685;0.516241;6;0.166667;1.1
1942753685;0.516241;1.33333;0.75;island
1942753685;0.516241;1.33333;0.5;island
1942753685;0.516241;4;4;island
1942753685;0.516241;4;3;1.1
1942753685;0.516241;3;0.333333;island
1942753685;0.516241;4;0.75;island
1942753685;0.516241;0.75;0.166667;island
1942753685;0.516241;4;0.166667;1.1
1942753685;0.516241;4;1.5;island
1942753685;0.516241;6;3;island
1942753685;0.516241;6;1;island
1942753685;0.516241;2;0.25;1.1
